iteration,timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,hip_x,hip_y,hip_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,neck_x,neck_y,neck_z
,1749062749.0,641.463232421875,320.941455078125,1362.2788330078124,329.550830078125,314.60125732421875,1361.65419921875,752.4487060546875,255.67722778320314,1046.952392578125,229.18375549316406,249.22696838378906,1045.4781005859375,484.66318359375,335.853271484375,1063.631298828125,754.2354309082032,120.19876022338867,781.5897277832031,219.73227539062498,101.65226287841797,776.9392517089843,485.50703124999995,317.7713562011719,1361.9665161132812
,1749062749.01,641.463232421875,320.94145507812505,1362.2788330078126,329.550830078125,314.60125732421875,1361.65419921875,752.4487060546874,255.67722778320314,1046.952392578125,229.18375549316406,249.22696838378903,1045.4781005859372,484.66318359375,335.853271484375,1063.631298828125,754.2354309082032,120.19876022338867,781.5897277832031,219.73227539062498,101.65226287841797,776.9392517089843,485.50703124999995,317.7713562011719,1361.9665161132812
,1749062749.02,641.463232421875,320.94145507812505,1362.2788330078126,329.550830078125,314.60125732421875,1361.65419921875,752.4487060546874,255.67722778320314,1046.952392578125,229.18375549316406,249.22696838378903,1045.4781005859372,484.66318359375,335.853271484375,1063.631298828125,754.2354309082032,120.19876022338867,781.5897277832031,219.73227539062498,101.65226287841797,776.9392517089843,485.50703124999995,317.7713562011719,1361.9665161132812
,1749062749.03,641.429345546875,320.975312890625,1362.2794917578126,329.5081110595703,314.6577982421875,1361.5951920898437,752.42068671875,255.69817421875,1046.934326953125,229.17805834472657,249.282601965332,1045.4331976171875,484.6510286499023,335.8823485742187,1063.6210251757811,754.2258904272461,120.18708341613768,781.5981082763672,219.74805845214843,101.69054800811769,776.908509411621,485.46872830322263,317.81655556640624,1361.9373419238282
,1749062749.04,641.3674059765625,321.0288119335938,1362.2758268359376,329.4785926513672,314.7245632080078,1361.52233046875,752.3782625976562,255.7256784423828,1046.9158207031248,229.1873950732422,249.3763898901367,1045.3462633007812,484.6337003466797,335.92066694091795,1063.60896796875,754.1911779272461,120.14523662048339,781.6275594311523,219.7821124243164,101.7888435800171,776.8363810595703,485.42299931396485,317.87668757080075,1361.8990786523436
,1749062749.05,641.3017413671876,321.0784882910156,1362.2728528515624,329.49070854492186,314.7768062011719,1361.4695338867186,752.3093876953124,255.73847346191405,1046.884850390625,229.20168844970698,249.46580338867187,1045.2706808398439,484.61715553955077,335.9677079760743,1063.6104040429686,754.1439061645508,120.09999779357909,781.6558013647461,219.82143397033693,101.91218644744873,776.7431956201171,485.3962249560547,317.9276472460938,1361.8711933691407
,1749062749.06,641.2323890234376,321.1308017285156,1362.2666619921877,329.4408500976562,314.86673508300777,1361.420509375,752.2599555664061,255.7430466064453,1046.870212890625,229.21898678955077,249.56824299316406,1045.1923211914063,484.60337767578125,336.01734555664063,1063.6265088671876,754.0857862060548,120.06617521728515,781.6685640185547,219.87338238220215,102.04008995269774,776.633712722168,485.33661956054686,317.99876840576167,1361.8435856835938
,1749062749.07,641.1645195117187,321.1792805273438,1362.2553624218751,329.3895677246094,314.93619316406256,1361.3790497070313,752.2044271484374,255.74913718261718,1046.8558654296874,229.25910594482423,249.66397665039062,1045.1122513671876,484.5834157836914,336.0514850097656,1063.6329145605469,754.0124781591796,120.0290870513916,781.6651071484375,219.92961627563477,102.1597344570923,776.5334699487305,485.27704361816404,318.0577368457032,1361.8172060644533
,1749062749.08,641.0920182226563,321.2247036816406,1362.2333551171876,329.3801622070312,315.0115468017578,1361.3411828125,752.1486192382811,255.74713688964843,1046.85388515625,229.32360631347655,249.7528159008789,1045.02434203125,484.56704169921875,336.0851097070313,1063.637216748047,753.9211058154297,119.98720495239257,781.6603174707031,219.98696916259763,102.28112324249267,776.4346628857422,485.2360902148438,318.1181252416992,1361.7872689648439
,1749062749.09,641.0340965820313,321.26094953125,1362.2174458984375,329.3434712158203,315.0956797607422,1361.298880078125,752.0747165039062,255.7418372802734,1046.8465751953124,229.386178840332,249.831503527832,1044.955280234375,484.5528351049805,336.1238938085937,1063.6356085839843,753.848652944336,119.97619081542969,781.6556425024414,220.04032729248047,102.39905355194092,776.3364846240235,485.1887838989258,318.1783146459961,1361.7581629882811
